swing_id,direction,swing_pips,bars,breakout_A_count,break_retest_B_count,fib_rejection_C_count,m1_structure_break_D_count,momentum_E_count,first_breakout_A_bar,first_break_retest_B_bar,first_fib_rejection_C_bar,first_m1_structure_break_D_bar,first_momentum_E_bar,any_formal_event,distinct_models_present
593,DOWN,37.90000000000183,422,36,31,0,83,21,42,43,-1,6,34,True,4
600,UP,39.59999999999964,531,45,39,14,93,31,101,105,197,6,36,True,5
606,UP,58.10000000000093,881,72,78,14,151,53,22,27,103,10,23,True,5
616,UP,78.30000000000004,328,29,22,27,65,23,20,21,49,19,19,True,5
618,UP,28.10000000000201,557,53,41,0,112,37,20,24,-1,6,19,True,4
620,UP,76.6,385,51,49,18,87,24,21,27,144,4,23,True,5
636,UP,30.19999999999801,433,33,27,10,77,26,42,46,226,5,20,True,5
640,UP,24.800000000000377,96,22,8,10,28,7,20,33,28,4,38,True,5
648,UP,21.500000000000963,339,25,25,0,73,25,37,42,-1,4,16,True,4
652,UP,102.70000000000002,393,63,26,14,98,42,30,37,166,4,18,True,5
656,UP,103.6999999999999,515,56,46,13,106,36,35,36,127,14,57,True,5
657,DOWN,58.49999999999911,1038,62,65,0,172,60,47,50,-1,8,19,True,4
659,DOWN,12.699999999998823,23,2,0,0,8,3,21,-1,-1,6,17,True,3
667,DOWN,44.899999999998826,1311,76,67,8,220,78,39,41,1179,4,14,True,5
671,DOWN,29.700000000001392,767,50,52,40,128,48,35,37,184,7,17,True,5
673,DOWN,18.500000000001293,450,33,27,11,82,27,61,79,335,4,13,True,5
679,DOWN,19.400000000000528,363,32,16,13,67,25,21,23,117,6,14,True,5
687,DOWN,19.20000000000144,325,28,21,15,68,25,35,44,141,3,29,True,5
691,DOWN,11.6000000000005,60,5,7,4,13,8,27,29,43,12,13,True,5
701,DOWN,31.90000000000026,1046,73,71,35,189,52,51,56,438,3,39,True,5
703,DOWN,19.799999999998708,403,31,37,6,73,25,41,50,284,6,26,True,5
707,DOWN,34.79999999999927,362,35,28,16,73,26,26,31,116,3,24,True,5
709,DOWN,8.099999999999774,24,1,0,0,8,3,23,-1,-1,4,18,True,3
713,DOWN,21.5999999999994,222,19,14,16,45,16,21,24,15,5,26,True,5
717,DOWN,83.10000000000039,421,36,19,3,79,30,24,94,56,3,19,True,5
723,DOWN,36.599999999999966,462,43,33,17,100,30,23,26,37,4,23,True,5
725,DOWN,23.399999999997867,127,11,7,11,24,11,35,44,70,13,13,True,5
727,DOWN,29.799999999999827,519,48,45,34,96,33,21,26,102,4,19,True,5
