swing_id,event_a,event_b,overlap_bars
164,break_retest_B,fib_rejection_C,0
164,break_retest_B,m1_structure_break_D,5
164,break_retest_B,momentum_E,2
164,fib_rejection_C,m1_structure_break_D,0
164,fib_rejection_C,momentum_E,0
164,m1_structure_break_D,momentum_E,39
168,breakout_A,fib_rejection_C,3
168,breakout_A,m1_structure_break_D,19
168,breakout_A,momentum_E,5
168,break_retest_B,breakout_A,0
168,break_retest_B,fib_rejection_C,8
168,break_retest_B,m1_structure_break_D,5
168,break_retest_B,momentum_E,1
168,fib_rejection_C,m1_structure_break_D,6
168,fib_rejection_C,momentum_E,2
168,m1_structure_break_D,momentum_E,9
170,breakout_A,fib_rejection_C,4
170,breakout_A,m1_structure_break_D,56
170,breakout_A,momentum_E,26
170,break_retest_B,breakout_A,0
170,break_retest_B,fib_rejection_C,1
170,break_retest_B,m1_structure_break_D,5
170,break_retest_B,momentum_E,2
170,fib_rejection_C,m1_structure_break_D,6
170,fib_rejection_C,momentum_E,5
170,m1_structure_break_D,momentum_E,38
176,breakout_A,fib_rejection_C,4
176,breakout_A,m1_structure_break_D,84
176,breakout_A,momentum_E,30
176,break_retest_B,breakout_A,0
176,break_retest_B,fib_rejection_C,6
176,break_retest_B,m1_structure_break_D,11
176,break_retest_B,momentum_E,6
176,fib_rejection_C,m1_structure_break_D,7
176,fib_rejection_C,momentum_E,5
176,m1_structure_break_D,momentum_E,49
178,breakout_A,fib_rejection_C,7
178,breakout_A,m1_structure_break_D,55
178,breakout_A,momentum_E,16
178,break_retest_B,breakout_A,0
178,break_retest_B,fib_rejection_C,3
178,break_retest_B,m1_structure_break_D,5
178,break_retest_B,momentum_E,7
178,fib_rejection_C,m1_structure_break_D,16
178,fib_rejection_C,momentum_E,2
178,m1_structure_break_D,momentum_E,31
188,breakout_A,fib_rejection_C,1
188,breakout_A,m1_structure_break_D,7
188,breakout_A,momentum_E,2
188,break_retest_B,breakout_A,0
188,break_retest_B,fib_rejection_C,0
188,break_retest_B,m1_structure_break_D,1
188,break_retest_B,momentum_E,1
188,fib_rejection_C,m1_structure_break_D,1
188,fib_rejection_C,momentum_E,0
188,m1_structure_break_D,momentum_E,6
190,breakout_A,fib_rejection_C,6
190,breakout_A,m1_structure_break_D,149
190,breakout_A,momentum_E,40
190,break_retest_B,breakout_A,0
190,break_retest_B,fib_rejection_C,2
190,break_retest_B,m1_structure_break_D,12
190,break_retest_B,momentum_E,4
190,fib_rejection_C,m1_structure_break_D,10
190,fib_rejection_C,momentum_E,5
190,m1_structure_break_D,momentum_E,94
192,breakout_A,fib_rejection_C,4
192,breakout_A,m1_structure_break_D,81
192,breakout_A,momentum_E,24
192,break_retest_B,breakout_A,0
192,break_retest_B,fib_rejection_C,3
192,break_retest_B,m1_structure_break_D,11
192,break_retest_B,momentum_E,5
192,fib_rejection_C,m1_structure_break_D,13
192,fib_rejection_C,momentum_E,4
192,m1_structure_break_D,momentum_E,44
198,breakout_A,fib_rejection_C,3
198,breakout_A,m1_structure_break_D,41
198,breakout_A,momentum_E,15
198,break_retest_B,breakout_A,0
198,break_retest_B,fib_rejection_C,1
198,break_retest_B,m1_structure_break_D,3
198,break_retest_B,momentum_E,2
198,fib_rejection_C,m1_structure_break_D,6
198,fib_rejection_C,momentum_E,2
198,m1_structure_break_D,momentum_E,31
202,breakout_A,fib_rejection_C,1
202,breakout_A,m1_structure_break_D,5
202,breakout_A,momentum_E,3
202,break_retest_B,breakout_A,0
202,break_retest_B,fib_rejection_C,1
202,break_retest_B,m1_structure_break_D,1
202,break_retest_B,momentum_E,1
202,fib_rejection_C,m1_structure_break_D,1
202,fib_rejection_C,momentum_E,0
202,m1_structure_break_D,momentum_E,5
204,breakout_A,fib_rejection_C,9
204,breakout_A,m1_structure_break_D,51
204,breakout_A,momentum_E,21
204,break_retest_B,breakout_A,0
204,break_retest_B,fib_rejection_C,7
204,break_retest_B,m1_structure_break_D,4
204,break_retest_B,momentum_E,2
204,fib_rejection_C,m1_structure_break_D,23
204,fib_rejection_C,momentum_E,4
204,m1_structure_break_D,momentum_E,31
216,breakout_A,fib_rejection_C,3
216,breakout_A,m1_structure_break_D,146
216,breakout_A,momentum_E,56
216,break_retest_B,breakout_A,0
216,break_retest_B,fib_rejection_C,4
216,break_retest_B,m1_structure_break_D,17
216,break_retest_B,momentum_E,10
216,fib_rejection_C,m1_structure_break_D,8
216,fib_rejection_C,momentum_E,3
216,m1_structure_break_D,momentum_E,100
218,breakout_A,fib_rejection_C,1
218,breakout_A,m1_structure_break_D,55
218,breakout_A,momentum_E,20
218,break_retest_B,breakout_A,0
218,break_retest_B,fib_rejection_C,1
218,break_retest_B,m1_structure_break_D,5
218,break_retest_B,momentum_E,1
218,fib_rejection_C,m1_structure_break_D,4
218,fib_rejection_C,momentum_E,1
218,m1_structure_break_D,momentum_E,45
222,breakout_A,fib_rejection_C,1
222,breakout_A,m1_structure_break_D,11
222,breakout_A,momentum_E,4
222,break_retest_B,breakout_A,0
222,break_retest_B,fib_rejection_C,1
222,break_retest_B,m1_structure_break_D,0
222,break_retest_B,momentum_E,0
222,fib_rejection_C,m1_structure_break_D,5
222,fib_rejection_C,momentum_E,1
222,m1_structure_break_D,momentum_E,12
230,breakout_A,fib_rejection_C,0
230,breakout_A,m1_structure_break_D,61
230,breakout_A,momentum_E,26
230,break_retest_B,breakout_A,0
230,break_retest_B,fib_rejection_C,0
230,break_retest_B,m1_structure_break_D,4
230,break_retest_B,momentum_E,2
230,fib_rejection_C,m1_structure_break_D,0
230,fib_rejection_C,momentum_E,0
230,m1_structure_break_D,momentum_E,44
234,breakout_A,fib_rejection_C,2
234,breakout_A,m1_structure_break_D,58
234,breakout_A,momentum_E,21
234,break_retest_B,breakout_A,0
234,break_retest_B,fib_rejection_C,0
234,break_retest_B,m1_structure_break_D,9
234,break_retest_B,momentum_E,2
234,fib_rejection_C,m1_structure_break_D,3
234,fib_rejection_C,momentum_E,1
234,m1_structure_break_D,momentum_E,44
240,breakout_A,fib_rejection_C,6
240,breakout_A,m1_structure_break_D,45
240,breakout_A,momentum_E,11
240,break_retest_B,breakout_A,0
240,break_retest_B,fib_rejection_C,1
240,break_retest_B,m1_structure_break_D,5
240,break_retest_B,momentum_E,0
240,fib_rejection_C,m1_structure_break_D,8
240,fib_rejection_C,momentum_E,3
240,m1_structure_break_D,momentum_E,20
242,breakout_A,fib_rejection_C,8
242,breakout_A,m1_structure_break_D,49
242,breakout_A,momentum_E,17
242,break_retest_B,breakout_A,0
242,break_retest_B,fib_rejection_C,2
242,break_retest_B,m1_structure_break_D,1
242,break_retest_B,momentum_E,0
242,fib_rejection_C,m1_structure_break_D,9
242,fib_rejection_C,momentum_E,4
242,m1_structure_break_D,momentum_E,26
252,breakout_A,fib_rejection_C,5
252,breakout_A,m1_structure_break_D,107
252,breakout_A,momentum_E,37
252,break_retest_B,breakout_A,0
252,break_retest_B,fib_rejection_C,4
252,break_retest_B,m1_structure_break_D,19
252,break_retest_B,momentum_E,9
252,fib_rejection_C,m1_structure_break_D,9
252,fib_rejection_C,momentum_E,2
252,m1_structure_break_D,momentum_E,74
264,breakout_A,fib_rejection_C,3
264,breakout_A,m1_structure_break_D,57
264,breakout_A,momentum_E,26
264,break_retest_B,breakout_A,0
264,break_retest_B,fib_rejection_C,1
264,break_retest_B,m1_structure_break_D,6
264,break_retest_B,momentum_E,4
264,fib_rejection_C,m1_structure_break_D,9
264,fib_rejection_C,momentum_E,5
264,m1_structure_break_D,momentum_E,42
266,breakout_A,fib_rejection_C,1
266,breakout_A,m1_structure_break_D,49
266,breakout_A,momentum_E,20
266,break_retest_B,breakout_A,0
266,break_retest_B,fib_rejection_C,1
266,break_retest_B,m1_structure_break_D,8
266,break_retest_B,momentum_E,4
266,fib_rejection_C,m1_structure_break_D,3
266,fib_rejection_C,momentum_E,2
266,m1_structure_break_D,momentum_E,41
268,breakout_A,fib_rejection_C,1
268,breakout_A,m1_structure_break_D,81
268,breakout_A,momentum_E,32
268,break_retest_B,breakout_A,0
268,break_retest_B,fib_rejection_C,4
268,break_retest_B,m1_structure_break_D,6
268,break_retest_B,momentum_E,5
268,fib_rejection_C,m1_structure_break_D,3
268,fib_rejection_C,momentum_E,1
268,m1_structure_break_D,momentum_E,56
274,breakout_A,fib_rejection_C,4
274,breakout_A,m1_structure_break_D,145
274,breakout_A,momentum_E,53
274,break_retest_B,breakout_A,0
274,break_retest_B,fib_rejection_C,5
274,break_retest_B,m1_structure_break_D,16
274,break_retest_B,momentum_E,7
274,fib_rejection_C,m1_structure_break_D,6
274,fib_rejection_C,momentum_E,2
274,m1_structure_break_D,momentum_E,84
276,breakout_A,fib_rejection_C,6
276,breakout_A,m1_structure_break_D,102
276,breakout_A,momentum_E,35
276,break_retest_B,breakout_A,0
276,break_retest_B,fib_rejection_C,2
276,break_retest_B,m1_structure_break_D,6
276,break_retest_B,momentum_E,4
276,fib_rejection_C,m1_structure_break_D,9
276,fib_rejection_C,momentum_E,2
276,m1_structure_break_D,momentum_E,63
280,breakout_A,fib_rejection_C,2
280,breakout_A,m1_structure_break_D,84
280,breakout_A,momentum_E,40
280,break_retest_B,breakout_A,0
280,break_retest_B,fib_rejection_C,2
280,break_retest_B,m1_structure_break_D,12
280,break_retest_B,momentum_E,5
280,fib_rejection_C,m1_structure_break_D,4
280,fib_rejection_C,momentum_E,4
280,m1_structure_break_D,momentum_E,64
284,breakout_A,fib_rejection_C,0
284,breakout_A,m1_structure_break_D,82
284,breakout_A,momentum_E,24
284,break_retest_B,breakout_A,0
284,break_retest_B,fib_rejection_C,0
284,break_retest_B,m1_structure_break_D,9
284,break_retest_B,momentum_E,2
284,fib_rejection_C,m1_structure_break_D,0
284,fib_rejection_C,momentum_E,0
284,m1_structure_break_D,momentum_E,40
299,breakout_A,fib_rejection_C,1
299,breakout_A,m1_structure_break_D,69
299,breakout_A,momentum_E,29
299,break_retest_B,breakout_A,0
299,break_retest_B,fib_rejection_C,1
299,break_retest_B,m1_structure_break_D,8
299,break_retest_B,momentum_E,1
299,fib_rejection_C,m1_structure_break_D,1
299,fib_rejection_C,momentum_E,0
299,m1_structure_break_D,momentum_E,62
315,breakout_A,fib_rejection_C,3
315,breakout_A,m1_structure_break_D,35
315,breakout_A,momentum_E,13
315,break_retest_B,breakout_A,0
315,break_retest_B,fib_rejection_C,3
315,break_retest_B,m1_structure_break_D,4
315,break_retest_B,momentum_E,5
315,fib_rejection_C,m1_structure_break_D,4
315,fib_rejection_C,momentum_E,3
315,m1_structure_break_D,momentum_E,25
319,breakout_A,fib_rejection_C,0
319,breakout_A,m1_structure_break_D,22
319,breakout_A,momentum_E,12
319,break_retest_B,breakout_A,0
319,break_retest_B,fib_rejection_C,0
319,break_retest_B,m1_structure_break_D,1
319,break_retest_B,momentum_E,0
319,fib_rejection_C,m1_structure_break_D,0
319,fib_rejection_C,momentum_E,0
319,m1_structure_break_D,momentum_E,22
323,breakout_A,fib_rejection_C,1
323,breakout_A,m1_structure_break_D,32
323,breakout_A,momentum_E,12
323,break_retest_B,breakout_A,0
323,break_retest_B,fib_rejection_C,0
323,break_retest_B,m1_structure_break_D,3
323,break_retest_B,momentum_E,3
323,fib_rejection_C,m1_structure_break_D,7
323,fib_rejection_C,momentum_E,3
323,m1_structure_break_D,momentum_E,26
327,breakout_A,fib_rejection_C,0
327,breakout_A,m1_structure_break_D,2
327,breakout_A,momentum_E,0
327,break_retest_B,breakout_A,0
327,break_retest_B,fib_rejection_C,0
327,break_retest_B,m1_structure_break_D,1
327,break_retest_B,momentum_E,0
327,fib_rejection_C,m1_structure_break_D,0
327,fib_rejection_C,momentum_E,0
327,m1_structure_break_D,momentum_E,1
329,breakout_A,fib_rejection_C,10
329,breakout_A,m1_structure_break_D,92
329,breakout_A,momentum_E,46
329,break_retest_B,breakout_A,0
329,break_retest_B,fib_rejection_C,6
329,break_retest_B,m1_structure_break_D,16
329,break_retest_B,momentum_E,7
329,fib_rejection_C,m1_structure_break_D,27
329,fib_rejection_C,momentum_E,7
329,m1_structure_break_D,momentum_E,78
331,breakout_A,fib_rejection_C,2
331,breakout_A,m1_structure_break_D,32
331,breakout_A,momentum_E,14
331,break_retest_B,breakout_A,0
331,break_retest_B,fib_rejection_C,6
331,break_retest_B,m1_structure_break_D,3
331,break_retest_B,momentum_E,1
331,fib_rejection_C,m1_structure_break_D,7
331,fib_rejection_C,momentum_E,3
331,m1_structure_break_D,momentum_E,25
335,breakout_A,fib_rejection_C,7
335,breakout_A,m1_structure_break_D,48
335,breakout_A,momentum_E,21
335,break_retest_B,breakout_A,0
335,break_retest_B,fib_rejection_C,7
335,break_retest_B,m1_structure_break_D,6
335,break_retest_B,momentum_E,6
335,fib_rejection_C,m1_structure_break_D,12
335,fib_rejection_C,momentum_E,3
335,m1_structure_break_D,momentum_E,38
342,breakout_A,fib_rejection_C,5
342,breakout_A,m1_structure_break_D,24
342,breakout_A,momentum_E,11
342,break_retest_B,breakout_A,0
342,break_retest_B,fib_rejection_C,5
342,break_retest_B,m1_structure_break_D,2
342,break_retest_B,momentum_E,0
342,fib_rejection_C,m1_structure_break_D,15
342,fib_rejection_C,momentum_E,5
342,m1_structure_break_D,momentum_E,27
344,breakout_A,fib_rejection_C,8
344,breakout_A,m1_structure_break_D,47
344,breakout_A,momentum_E,11
344,break_retest_B,breakout_A,0
344,break_retest_B,fib_rejection_C,6
344,break_retest_B,m1_structure_break_D,5
344,break_retest_B,momentum_E,2
344,fib_rejection_C,m1_structure_break_D,12
344,fib_rejection_C,momentum_E,2
344,m1_structure_break_D,momentum_E,19
350,breakout_A,fib_rejection_C,1
350,breakout_A,m1_structure_break_D,51
350,breakout_A,momentum_E,18
350,break_retest_B,breakout_A,0
350,break_retest_B,fib_rejection_C,3
350,break_retest_B,m1_structure_break_D,5
350,break_retest_B,momentum_E,5
350,fib_rejection_C,m1_structure_break_D,5
350,fib_rejection_C,momentum_E,3
350,m1_structure_break_D,momentum_E,29
352,breakout_A,fib_rejection_C,3
352,breakout_A,m1_structure_break_D,82
352,breakout_A,momentum_E,31
352,break_retest_B,breakout_A,0
352,break_retest_B,fib_rejection_C,2
352,break_retest_B,m1_structure_break_D,14
352,break_retest_B,momentum_E,2
352,fib_rejection_C,m1_structure_break_D,6
352,fib_rejection_C,momentum_E,2
352,m1_structure_break_D,momentum_E,55
354,breakout_A,fib_rejection_C,0
354,breakout_A,m1_structure_break_D,74
354,breakout_A,momentum_E,26
