swing_id,direction,event,bar_in_swing,swing_position_pct,timestamp,open,high,low,close,range_pips,body_ratio,close_location,atr14_pips,range_vs_atr14,return_3m_pips,fib_rejection_level_C,entry_reference
575,DOWN,m1_structure_break_D,436,24.480628860190905,2026-06-23 10:36:00,1.13794,1.13796,1.13768,1.1377,2.80000000000058,0.8571428571427439,0.07142857142823156,1.7785714285715022,1.574297188755281,-0.9000000000014552,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,455,25.547445255474454,2026-06-23 10:55:00,1.13824,1.13824,1.13787,1.13795,3.6999999999998145,0.7837837837835567,0.2162162162164433,2.064285714285439,1.7923875432527443,-1.9999999999997797,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,465,26.108927568781585,2026-06-23 11:05:00,1.13815,1.13816,1.13784,1.13784,3.20000000000098,0.9687499999998048,0.0,1.9428571428571826,1.6470588235298824,-3.8000000000004697,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,466,26.165075800112298,2026-06-23 11:06:00,1.13786,1.1379,1.13776,1.13776,1.3999999999980695,0.7142857142866206,0.0,1.9499999999999278,0.7179487179477545,-3.7999999999982492,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,469,26.333520494104437,2026-06-23 11:09:00,1.1377,1.13771,1.13757,1.13763,1.40000000000029,0.5,0.4285714285709754,1.792857142856993,0.7808764940241313,-1.3000000000018552,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,478,26.838854576080852,2026-06-23 11:18:00,1.13835,1.13839,1.1382,1.1382,1.8999999999991246,0.7894736842102188,0.0,1.899999999999759,0.9999999999996662,-2.8999999999990145,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,479,26.895002807411565,2026-06-23 11:19:00,1.13823,1.13825,1.13812,1.13814,1.2999999999996348,0.6923076923090061,0.1538461538454969,1.7642857142853772,0.7368421052630917,-1.9999999999997797,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,481,27.00729927007299,2026-06-23 11:21:00,1.13817,1.13821,1.13805,1.13805,1.5999999999993797,0.749999999999653,0.0,1.7142857142853667,0.9333333333331607,-1.500000000000945,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,489,27.456485120718696,2026-06-23 11:29:00,1.13823,1.13831,1.13809,1.13809,2.1999999999988695,0.6363636363640951,0.0,1.5214285714280709,1.4460093896710942,-2.100000000000435,,NEXT_BAR_OPEN
575,DOWN,m1_structure_break_D,495,27.793374508702975,2026-06-23 11:35:00,1.1382,1.13831,1.13819,1.13819,1.1999999999989797,0.08333333333395013,0.0,1.5999999999995382,0.7499999999995788,-2.4999999999986144,,NEXT_BAR_OPEN
