depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips,robustness_score,depth_distance,deviation_distance,backstep_distance
335,175,40,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,17.5,0.9748521054399681,15,25,0
335,200,20,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,20.0,0.9748521054399681,15,50,20
335,200,40,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,20.0,0.9748521054399681,15,50,0
335,225,20,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,22.5,0.9748521054399681,15,75,20
335,225,40,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,22.5,0.9748521054399681,15,75,0
335,250,20,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,25.0,0.9748521054399681,15,100,20
335,250,40,766,765,35.60000000000007,387.0,0.12028843002294579,0.1470974489193414,25.0,0.9748521054399681,15,100,0
330,25,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,2.5,0.964354927944128,20,125,20
330,50,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,5.0,0.964354927944128,20,100,20
330,75,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,7.5,0.964354927944128,20,75,20
330,100,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,10.0,0.964354927944128,20,50,20
330,125,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,12.5,0.964354927944128,20,25,20
330,150,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,15.0,0.964354927944128,20,0,20
330,175,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,17.5,0.964354927944128,20,25,20
330,200,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,20.0,0.964354927944128,20,50,20
330,225,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,22.5,0.964354927944128,20,75,20
330,250,60,774,773,35.00000000000058,383.0,0.12106666666665747,0.14647825976459755,25.0,0.964354927944128,20,100,20
360,25,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,2.5,0.9627852222319975,10,125,20
360,25,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,2.5,0.9627852222319975,10,125,0
360,50,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,5.0,0.9627852222319975,10,100,20
360,50,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,5.0,0.9627852222319975,10,100,0
360,75,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,7.5,0.9627852222319975,10,75,20
360,75,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,7.5,0.9627852222319975,10,75,0
360,100,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,10.0,0.9627852222319975,10,50,20
360,100,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,10.0,0.9627852222319975,10,50,0
360,125,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,12.5,0.9627852222319975,10,25,20
360,125,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,12.5,0.9627852222319975,10,25,0
360,150,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,15.0,0.9627852222319975,10,0,20
360,150,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,15.0,0.9627852222319975,10,0,0
360,175,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,17.5,0.9627852222319975,10,25,20
360,175,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,17.5,0.9627852222319975,10,25,0
360,200,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,20.0,0.9627852222319975,10,50,20
360,200,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,20.0,0.9627852222319975,10,50,0
360,225,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,22.5,0.9627852222319975,10,75,20
360,225,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,22.5,0.9627852222319975,10,75,0
360,250,20,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,25.0,0.9627852222319975,10,100,20
360,250,40,700,699,37.70000000000051,414.0,0.11512272367378897,0.14167865035478555,25.0,0.9627852222319975,10,100,0
330,25,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,2.5,0.9615814228266879,20,125,0
330,50,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,5.0,0.9615814228266879,20,100,0
330,75,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,7.5,0.9615814228266879,20,75,0
330,100,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,10.0,0.9615814228266879,20,50,0
330,125,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,12.5,0.9615814228266879,20,25,0
330,150,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,15.0,0.9615814228266879,20,0,0
330,175,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,17.5,0.9615814228266879,20,25,0
330,200,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,20.0,0.9615814228266879,20,50,0
330,225,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,22.5,0.9615814228266879,20,75,0
330,250,40,778,777,35.00000000000058,382.0,0.12149949793595684,0.14788053168338175,25.0,0.9615814228266879,20,100,0
330,25,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,2.5,0.9602378639344546,20,125,20
330,50,20,780,779,35.00000000000058,381.0,0.12159709618878078,0.14849476203679413,5.0,0.9602378639344546,20,100,20
