period,depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips
2026-02,350,50,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,5.0
2026-02,350,175,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,17.5
2026-02,350,200,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,20.0
2026-02,350,225,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,22.5
2026-02,350,125,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,12.5
2026-02,350,150,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,15.0
2026-02,350,25,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,2.5
2026-02,350,250,60,60,59,36.49999999999931,396.0,0.1039880730525492,0.12302370984847223,25.0
2026-03,350,200,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,20.0
2026-03,350,200,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,20.0
2026-03,350,225,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,22.5
2026-03,350,225,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,22.5
2026-03,350,250,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,25.0
2026-03,350,250,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,25.0
2026-03,350,100,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,10.0
2026-03,350,100,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,10.0
2026-03,350,75,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,7.5
2026-03,350,75,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,7.5
2026-03,350,125,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,12.5
2026-03,350,125,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,12.5
2026-03,350,150,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,15.0
2026-03,350,150,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,15.0
2026-03,350,175,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,17.5
2026-03,350,175,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,17.5
2026-03,350,25,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,2.5
2026-03,350,25,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,2.5
2026-03,350,50,20,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,5.0
2026-03,350,50,40,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,5.0
2026-03,350,75,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,7.5
2026-03,350,125,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,12.5
2026-03,350,150,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,15.0
2026-03,350,175,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,17.5
2026-03,350,50,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,5.0
2026-03,350,100,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,10.0
2026-03,350,200,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,20.0
2026-03,350,225,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,22.5
2026-03,350,250,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,25.0
2026-03,350,25,80,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,2.5
2026-03,350,100,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,10.0
2026-03,350,75,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,7.5
2026-03,350,50,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,5.0
2026-03,350,175,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,17.5
2026-03,350,200,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,20.0
2026-03,350,225,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,22.5
2026-03,350,125,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,12.5
2026-03,350,150,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,15.0
2026-03,350,25,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,2.5
2026-03,350,250,60,64,63,56.59999999999998,399.0,0.12406382285900111,0.15132913116030738,25.0
2026-04,350,200,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,20.0
2026-04,350,200,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,20.0
2026-04,350,225,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,22.5
2026-04,350,225,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,22.5
2026-04,350,250,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,25.0
2026-04,350,250,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,25.0
2026-04,350,100,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,10.0
2026-04,350,100,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,10.0
2026-04,350,75,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,7.5
2026-04,350,75,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,7.5
2026-04,350,125,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,12.5
2026-04,350,125,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,12.5
2026-04,350,150,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,15.0
2026-04,350,150,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,15.0
2026-04,350,175,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,17.5
2026-04,350,175,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,17.5
2026-04,350,25,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,2.5
2026-04,350,25,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,2.5
2026-04,350,50,20,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,5.0
2026-04,350,50,40,57,56,37.15000000000023,453.5,0.10837000460918493,0.1564876411647689,5.0
2026-04,350,75,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,7.5
2026-04,350,125,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,12.5
2026-04,350,150,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,15.0
2026-04,350,175,80,55,54,40.20000000000023,460.5,0.10623874090960424,0.14528660055005949,17.5
