swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone
299,DOWN,DOWN,55.29999999999813,1131,True,UP,57.89999999999962,1079.0,95.50949913643952,78.6-100.0,95.50949913643952,78.6-100
306,UP,UP,40.50000000000109,401,True,DOWN,16.100000000001113,99.0,251.5527950310453,200.0-261.8,251.5527950310453,200-261.8
308,UP,UP,116.89999999999978,948,True,DOWN,16.300000000000203,499.0,717.1779141104191,>=423.6,717.1779141104191,>=423.6
315,DOWN,DOWN,42.29999999999956,560,True,UP,40.00000000000004,93.0,105.7499999999988,100.0-127.2,105.7499999999988,100-127.2
316,UP,UP,40.99999999999993,654,True,DOWN,42.29999999999956,560.0,96.92671394799136,78.6-100.0,96.92671394799136,78.6-100
319,DOWN,DOWN,32.40000000000131,268,True,UP,51.49999999999988,751.0,62.91262135922601,61.8-78.6,62.91262135922601,61.8-78.6
320,UP,UP,37.700000000000514,574,True,DOWN,32.40000000000131,268.0,116.35802469135488,100.0-127.2,116.35802469135488,100-127.2
323,DOWN,DOWN,26.50000000000041,396,True,UP,17.300000000000093,396.0,153.17919075144664,127.2-161.8,153.17919075144664,127.2-161.8
326,UP,UP,22.599999999999287,885,True,DOWN,37.10000000000102,149.0,60.91644204851392,50.0-61.8,60.91644204851392,50-61.8
327,DOWN,DOWN,9.899999999998244,49,True,UP,22.599999999999287,885.0,43.805309734506885,38.2-50.0,43.805309734506885,38.2-50
329,DOWN,DOWN,41.70000000000008,1394,True,UP,10.099999999999554,31.0,412.8712871287318,361.8-423.6,412.8712871287318,361.8-423.6
331,DOWN,DOWN,44.8000000000004,375,True,UP,21.100000000000563,100.0,212.3222748815128,200.0-261.8,212.3222748815128,200-261.8
332,UP,UP,52.39999999999911,437,True,DOWN,44.8000000000004,375.0,116.9642857142827,100.0-127.2,116.9642857142827,100-127.2
335,DOWN,DOWN,66.69999999999953,529,True,UP,20.100000000000676,264.0,331.8407960198871,261.8-361.8,331.8407960198871,261.8-361.8
341,DOWN,DOWN,19.299999999999876,36,True,UP,12.399999999999078,147.0,155.64516129033314,127.2-161.8,155.64516129033314,127.2-161.8
342,UP,UP,38.89999999999949,318,True,DOWN,19.299999999999876,36.0,201.5544041450764,200.0-261.8,201.5544041450764,200-261.8
344,UP,UP,79.49999999999902,524,True,DOWN,26.999999999999247,96.0,294.444444444449,261.8-361.8,294.444444444449,261.8-361.8
345,DOWN,DOWN,66.69999999999953,1715,True,UP,79.49999999999902,524.0,83.89937106918285,78.6-100.0,83.89937106918285,78.6-100
350,UP,UP,36.30000000000023,542,True,DOWN,18.500000000001293,330.0,196.2162162162037,161.8-200.0,196.2162162162037,161.8-200
352,UP,UP,57.89999999999962,855,True,DOWN,36.89999999999971,264.0,156.91056910569125,127.2-161.8,156.91056910569125,127.2-161.8
353,DOWN,DOWN,55.09999999999904,962,True,UP,57.89999999999962,855.0,95.1640759930905,78.6-100.0,95.1640759930905,78.6-100
354,UP,UP,47.90000000000072,855,True,DOWN,55.09999999999904,962.0,86.93284936479411,78.6-100.0,86.93284936479411,78.6-100
357,DOWN,DOWN,296.7999999999993,2768,True,UP,36.49999999999931,201.0,813.1506849315203,>=423.6,813.1506849315203,>=423.6
363,DOWN,DOWN,85.80000000000032,438,True,UP,62.99999999999972,38.0,136.1904761904773,127.2-161.8,136.1904761904773,127.2-161.8
364,UP,UP,62.40000000000023,719,True,DOWN,85.80000000000032,438.0,72.72727272727273,61.8-78.6,72.72727272727273,61.8-78.6
365,DOWN,DOWN,75.3999999999988,590,True,UP,62.40000000000023,719.0,120.83333333333096,100.0-127.2,120.83333333333096,100-127.2
368,UP,UP,138.49999999999918,1222,True,DOWN,114.40000000000116,513.0,121.0664335664316,100.0-127.2,121.0664335664316,100-127.2
370,UP,UP,60.2999999999998,807,True,DOWN,38.49999999999909,345.0,156.62337662337978,127.2-161.8,156.62337662337978,127.2-161.8
371,DOWN,DOWN,64.50000000000067,316,True,UP,60.2999999999998,807.0,106.9651741293547,100.0-127.2,106.9651741293547,100-127.2
373,DOWN,DOWN,113.60000000000036,1292,True,UP,42.60000000000153,507.0,266.666666666658,261.8-361.8,266.666666666658,261.8-361.8
375,DOWN,DOWN,56.59999999999998,561,True,UP,34.49999999999953,407.0,164.05797101449494,161.8-200.0,164.05797101449494,161.8-200
377,DOWN,DOWN,96.7999999999991,430,True,UP,20.000000000000018,253.0,483.9999999999951,>=423.6,483.9999999999951,>=423.6
379,DOWN,DOWN,79.29999999999993,414,True,UP,57.300000000000125,326.0,138.39441535776572,127.2-161.8,138.39441535776572,127.2-161.8
382,UP,UP,110.90000000000045,690,True,DOWN,42.50000000000087,399.0,260.9411764705839,200.0-261.8,260.9411764705839,200-261.8
384,UP,UP,81.2999999999997,716,True,DOWN,59.00000000000016,660.0,137.79661016949066,127.2-161.8,137.79661016949066,127.2-161.8
389,DOWN,DOWN,105.5000000000006,559,True,UP,37.50000000000142,173.0,281.3333333333242,261.8-361.8,281.3333333333242,261.8-361.8
391,DOWN,DOWN,48.2999999999989,382,True,UP,41.59999999999941,342.0,116.1057692307682,100.0-127.2,116.1057692307682,100-127.2
392,UP,UP,173.20000000000002,626,True,DOWN,48.2999999999989,382.0,358.59213250518417,261.8-361.8,358.59213250518417,261.8-361.8
395,DOWN,DOWN,56.0000000000005,363,True,UP,28.200000000000447,154.0,198.5815602836865,161.8-200.0,198.5815602836865,161.8-200
397,DOWN,DOWN,87.50000000000036,833,True,UP,47.30000000000123,391.0,184.98942917547163,161.8-200.0,184.98942917547163,161.8-200
398,UP,UP,155.39999999999887,222,True,DOWN,87.50000000000036,833.0,177.59999999999798,161.8-200.0,177.59999999999798,161.8-200
401,DOWN,DOWN,50.49999999999999,392,True,UP,41.999999999999815,166.0,120.23809523809574,100.0-127.2,120.23809523809574,100-127.2
403,DOWN,DOWN,49.99999999999893,133,True,UP,39.80000000000095,67.0,125.62814070351192,100.0-127.2,125.62814070351192,100-127.2
404,UP,UP,73.59999999999812,453,True,DOWN,49.99999999999893,133.0,147.19999999999936,127.2-161.8,147.19999999999936,127.2-161.8
407,DOWN,DOWN,62.60000000000154,970,True,UP,29.799999999999827,144.0,210.06711409396613,200.0-261.8,210.06711409396613,200-261.8
409,DOWN,DOWN,52.59999999999821,936,True,UP,18.299999999999983,227.0,287.4316939890615,261.8-361.8,287.4316939890615,261.8-361.8
