depth,deviation,backstep,pivot_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,score,deviation_pips
400.0,25.0,160.0,634.0,41.29999999999967,462.0,0.11233631977944997,0.13416202084366946,54.68084304658638,2.5
400.0,150.0,160.0,634.0,41.29999999999967,462.0,0.11233631977944997,0.13416202084366946,54.68084304658638,15.0
400.0,200.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,20.0
400.0,250.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,25.0
400.0,125.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,12.5
400.0,150.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,15.0
400.0,100.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,10.0
400.0,25.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,2.5
400.0,175.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,17.5
400.0,225.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,22.5
400.0,50.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,5.0
400.0,75.0,140.0,636.0,41.20000000000123,462.0,0.11243993593165966,0.1341128584810479,54.67633684346281,7.5
400.0,175.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,17.5
400.0,200.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,20.0
400.0,25.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,2.5
400.0,50.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,5.0
400.0,100.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,10.0
400.0,150.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,15.0
400.0,250.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,25.0
400.0,225.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,22.5
400.0,75.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,7.5
400.0,125.0,180.0,624.0,41.90000000000138,467.0,0.11136478944698729,0.13244824774109454,54.66556617493369,12.5
400.0,225.0,120.0,640.0,40.99999999999992,461.0,0.11246200607901848,0.13460259697253052,54.66482643129796,22.5
400.0,200.0,120.0,640.0,40.99999999999992,461.0,0.11246200607901848,0.13460259697253052,54.66482643129796,20.0
