period,depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips
2026Q2,350,75,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,7.5
2026Q2,350,75,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,7.5
2026Q2,350,100,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,10.0
2026Q2,350,100,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,10.0
2026Q2,350,125,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,12.5
2026Q2,350,125,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,12.5
2026Q2,350,150,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,15.0
2026Q2,350,150,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,15.0
2026Q2,350,175,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,17.5
2026Q2,350,175,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,17.5
2026Q2,350,200,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,20.0
2026Q2,350,200,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,20.0
2026Q2,350,225,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,22.5
2026Q2,350,225,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,22.5
2026Q2,350,250,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,25.0
2026Q2,350,250,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,25.0
2026Q3,350,25,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,2.5
2026Q3,350,25,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,2.5
2026Q3,350,50,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,5.0
2026Q3,350,50,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,5.0
2026Q3,350,75,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,7.5
2026Q3,350,75,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,7.5
2026Q3,350,100,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,10.0
2026Q3,350,100,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,10.0
2026Q3,350,125,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,12.5
2026Q3,350,125,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,12.5
2026Q3,350,150,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,15.0
2026Q3,350,150,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,15.0
2026Q3,350,175,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,17.5
2026Q3,350,175,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,17.5
2026Q3,350,200,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,20.0
2026Q3,350,200,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,20.0
2026Q3,350,225,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,22.5
2026Q3,350,225,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,22.5
2026Q3,350,250,20,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,25.0
2026Q3,350,250,40,141,140,26.199999999999555,395.0,0.11436174738348341,0.1363573342779148,25.0
